Date,Open,High,Low,Close,Adj Close,Volume
2019-07-17,3.736700,3.767800,3.736700,3.767200,3.767200,0
2019-07-18,3.762100,3.764000,3.744700,3.761800,3.761800,0
2019-07-19,3.717500,3.742800,3.702000,3.717400,3.717400,0
2019-07-22,3.746700,3.750100,3.733100,3.745900,3.745900,0
2019-07-23,3.730700,3.769700,3.716800,3.739800,3.739800,0
2019-07-24,3.772400,3.772500,3.750800,3.772400,3.772400,0
2019-07-25,3.772000,3.802900,3.747800,3.771300,3.771300,0
2019-07-26,3.748700,3.790300,3.748700,3.775200,3.775200,0
2019-07-29,3.773200,3.797500,3.754300,3.773500,3.773500,0
2019-07-30,3.746300,3.796900,3.746300,3.780100,3.780100,0
2019-07-31,3.789200,3.791600,3.752700,3.789300,3.789300,0
2019-08-01,3.811600,3.836600,3.787900,3.811700,3.811700,0
2019-08-02,3.837300,3.891500,3.813100,3.837300,3.837300,0
2019-08-05,3.887700,3.945200,3.881700,3.883900,3.883900,0
2019-08-06,3.973000,3.982700,3.936400,3.973100,3.973100,0
2019-08-07,3.956700,3.990300,3.934900,3.958700,3.958700,0
2019-08-08,3.967500,3.967800,3.927800,3.967400,3.967400,0
2019-08-09,3.917800,3.944800,3.898100,3.917600,3.917600,0
2019-08-12,3.938900,4.011300,3.918700,3.940200,3.940200,0
2019-08-13,3.983300,4.010800,3.942000,3.983900,3.983900,0
2019-08-14,3.961700,4.015500,3.960000,3.962400,3.962400,0
2019-08-15,4.050200,4.050500,4.003100,4.050300,4.050300,0
2019-08-16,3.990100,4.001900,3.974500,3.990100,3.990100,0
2019-08-19,4.004400,4.038800,3.990400,4.004600,4.004600,0
2019-08-20,4.073300,4.074200,4.024400,4.073200,4.073200,0
2019-08-21,4.046600,4.053100,4.011000,4.051700,4.051700,0
2019-08-22,4.024300,4.058300,4.017800,4.024000,4.024000,0
2019-08-23,4.067800,4.110900,4.052800,4.068000,4.068000,0
2019-08-26,4.119600,4.156000,4.098000,4.126200,4.126200,0
2019-08-27,4.151500,4.181200,4.121500,4.151500,4.151500,0
2019-08-28,4.123200,4.165500,4.102000,4.122800,4.122800,0
2019-08-29,4.167000,4.175200,4.141800,4.167700,4.167700,0
2019-08-30,4.167700,4.169500,4.121800,4.168100,4.168100,0
2019-09-02,4.142700,4.164700,4.141200,4.143900,4.143900,0
2019-09-03,4.184500,4.184800,4.145500,4.184400,4.184400,0
2019-09-04,4.149900,4.165900,4.109500,4.165100,4.165100,0
2019-09-05,4.091100,4.095600,4.066800,4.093200,4.093200,0
2019-09-06,4.080100,4.106700,4.051600,4.106000,4.106000,0
2019-09-09,4.063000,4.091000,4.046700,4.061300,4.061300,0
2019-09-10,4.093300,4.126300,4.086900,4.093400,4.093400,0
2019-09-11,4.079600,4.084700,4.050000,4.079500,4.079500,0
2019-09-12,4.056000,4.067000,4.024600,4.064200,4.064200,0
2019-09-13,4.032900,4.063500,4.032900,4.058900,4.058900,0
2019-09-16,4.082600,4.103200,4.075500,4.085500,4.085500,0
2019-09-17,4.074400,4.114400,4.074400,4.079300,4.079300,0
2019-09-18,4.040200,4.101300,4.040200,4.076000,4.076000,0
2019-09-19,4.107200,4.143900,4.089000,4.107300,4.107300,0
2019-09-20,4.167000,4.181100,4.143500,4.166600,4.166600,0
2019-09-23,4.147000,4.176800,4.142000,4.148300,4.148300,0
2019-09-24,4.122300,4.178700,4.122300,4.161500,4.161500,0
2019-09-25,4.130500,4.193000,4.130500,4.161700,4.161700,0
2019-09-26,4.148000,4.157400,4.121400,4.147100,4.147100,0
2019-09-27,4.169300,4.169900,4.145700,4.169200,4.169200,0
2019-09-30,4.155200,4.169000,4.121800,4.157100,4.157100,0
2019-10-01,4.145800,4.182600,4.145800,4.154800,4.154800,0
