Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,4.513200,4.555800,4.501890,4.513200,4.513200,0
2020-03-05,4.583400,4.653300,4.580980,4.583400,4.583400,0
2020-03-06,4.604030,4.669100,4.602800,4.606200,4.606200,0
2020-03-09,4.625500,4.788900,4.621180,4.589800,4.589800,0
2020-03-10,4.723000,4.724900,4.655200,4.722900,4.722900,0
2020-03-11,4.642500,4.683100,4.615200,4.642100,4.642100,0
2020-03-12,4.813400,5.015700,4.810670,4.813800,4.813800,0
2020-03-13,4.790400,4.791400,4.648300,4.790200,4.790200,0
2020-03-16,4.852600,4.988130,4.852600,4.852600,4.852600,0
2020-03-17,4.999400,5.077800,4.996050,4.999000,4.999000,0
2020-03-18,5.009900,5.198900,4.983500,5.009700,5.009700,0
2020-03-19,5.103830,5.210500,5.102210,5.103960,5.103960,0
2020-03-20,5.094800,5.097000,4.990200,5.094200,5.094200,0
2020-03-23,5.045500,5.133200,5.006000,5.045500,5.045500,0
2020-03-24,5.141700,5.142900,5.038800,5.141700,5.141700,0
2020-03-25,5.098600,5.103210,5.051000,5.098100,5.098100,0
2020-03-26,5.031480,5.060160,4.973900,5.033700,5.033700,0
2020-03-27,5.021800,5.116200,4.981570,5.022600,5.022600,0
2020-03-30,5.100300,5.175600,5.077650,5.104630,5.104630,0
2020-03-31,5.190700,5.204000,5.166500,5.192700,5.192700,0
2020-04-01,5.203900,5.248900,5.198390,5.203500,5.203500,0
2020-04-02,5.248000,5.275900,5.220800,5.248200,5.248200,0
2020-04-03,5.255000,5.320600,5.252050,5.255300,5.255300,0
2020-04-06,5.340400,5.348700,5.224000,5.348500,5.348500,0
2020-04-07,5.284900,5.286400,5.185840,5.285300,5.285300,0
2020-04-08,5.221600,5.244700,5.161300,5.221700,5.221700,0
2020-04-09,5.121800,5.150500,5.050000,5.123500,5.123500,0
2020-04-10,5.105800,5.105900,5.071150,5.105800,5.105800,0
2020-04-13,5.105600,5.203900,5.104800,5.105500,5.105500,0
2020-04-14,5.198600,5.208500,5.071870,5.198500,5.198500,0
2020-04-15,5.160040,5.264400,5.159710,5.162000,5.162000,0
2020-04-16,5.238200,5.260300,5.202500,5.237000,5.237000,0
2020-04-17,5.232500,5.272100,5.199500,5.230900,5.230900,0
2020-04-20,5.233700,5.298500,5.233070,5.232700,5.232700,0
2020-04-21,5.316000,5.317300,5.312490,5.315400,5.315400,0
2020-04-22,5.315500,5.397500,5.303800,5.315000,5.315000,0
2020-04-23,5.456600,5.481000,5.401000,5.456900,5.456900,0
2020-04-24,5.533600,5.713500,5.501200,5.533100,5.533100,0
2020-04-27,5.592100,5.682500,5.538300,5.572600,5.572600,0
2020-04-28,5.653200,5.654000,5.547200,5.652600,5.652600,0
2020-04-29,5.496600,5.520560,5.373030,5.497400,5.497400,0
2020-04-30,5.334900,5.441700,5.331070,5.334800,5.334800,0
2020-05-01,5.486000,5.489500,5.484800,5.486000,5.486000,0
2020-05-04,5.485300,5.599100,5.481900,5.477000,5.477000,0
2020-05-05,5.539300,5.562700,5.481330,5.540600,5.540600,0
2020-05-06,5.578200,5.686500,5.575520,5.578100,5.578100,0
2020-05-07,5.714400,5.871000,5.711520,5.715200,5.715200,0
2020-05-08,5.830800,5.831900,5.721250,5.828720,5.828720,0
2020-05-11,5.730800,5.814600,5.729080,5.477000,5.477000,0
2020-05-12,5.817100,5.821000,5.743200,5.817100,5.817100,0
2020-05-13,5.885000,5.928700,5.818100,5.884800,5.884800,0
2020-05-14,5.886300,5.966480,5.882760,5.886400,5.886400,0
2020-05-15,5.809400,5.864700,5.761100,5.809400,5.809400,0
2020-05-18,5.854700,5.855100,5.706500,5.855200,5.855200,0
2020-05-19,5.719200,5.759300,5.683300,5.719000,5.719000,0
2020-05-20,5.754900,5.757400,5.672000,5.755200,5.755200,0
2020-05-21,5.692200,5.699410,5.566440,5.690500,5.690500,0
2020-05-22,5.552400,5.618200,5.548600,5.552400,5.552400,0
2020-05-25,5.477100,5.533800,5.440690,5.528700,5.528700,0
2020-05-26,5.443300,5.444900,5.345500,5.443400,5.443400,0
2020-05-27,5.344700,5.352300,5.268930,5.344000,5.344000,0
2020-05-28,5.272700,5.356400,5.268990,5.272700,5.272700,0
2020-05-29,5.403100,5.457500,5.338140,5.403600,5.403600,0
2020-06-01,5.334900,5.395100,5.311860,5.334800,5.334800,0
2020-06-02,5.366000,5.368500,5.211940,5.366500,5.366500,0
2020-06-03,5.199100,5.200500,5.017800,5.199300,5.199300,0
2020-06-04,5.061800,5.137000,5.023720,5.061600,5.061600,0
2020-06-05,5.117000,5.118300,4.933400,5.117200,5.117200,0
2020-06-08,4.959400,4.971700,4.882450,4.959500,4.959500,0
2020-06-09,4.821500,4.932200,4.818520,4.821600,4.821600,0
2020-06-10,4.899500,4.911500,4.847560,4.898400,4.898400,0
2020-06-11,4.972600,4.975600,4.952900,4.972200,4.972200,0
2020-06-12,4.975100,5.104800,4.972450,4.975000,4.975000,0
2020-06-15,5.361300,5.361300,5.046600,5.047800,5.047800,0
2020-06-16,5.152800,5.206400,5.047800,5.153210,5.153210,0
2020-06-17,5.242800,5.268100,5.184100,5.243600,5.243600,0
2020-06-18,5.227400,5.373000,5.224580,5.227900,5.227900,0
2020-06-19,5.376400,5.380700,5.323400,5.377200,5.377200,0
2020-06-22,5.140500,5.313200,5.140500,5.310000,5.310000,0
2020-06-23,5.251900,5.254400,5.145800,5.251900,5.251900,0
2020-06-24,5.151000,5.317800,5.148540,5.151000,5.151000,0
2020-06-25,5.347700,5.369700,5.265800,5.346600,5.346600,0
2020-06-26,5.359700,5.489800,5.356800,5.359500,5.359500,0
2020-06-29,5.484730,5.485200,5.391560,5.480900,5.480900,0
2020-06-30,5.402400,5.504800,5.396720,5.402100,5.402100,0
2020-07-01,5.461400,5.465570,5.340000,5.461700,5.461700,0
2020-07-02,5.316600,5.340700,5.267600,5.316200,5.316200,0
2020-07-03,5.358500,5.377000,5.314400,5.358900,5.358900,0
2020-07-06,5.140500,5.346700,5.140500,5.311400,5.311400,0
2020-07-07,5.354100,5.395170,5.285300,5.354300,5.354300,0
2020-07-08,5.377700,5.391100,5.318400,5.377800,5.377800,0
2020-07-09,5.342600,5.344900,5.241000,5.342600,5.342600,0
2020-07-10,5.335640,5.389500,5.322080,5.337800,5.337800,0
2020-07-13,5.323600,5.369300,5.314790,5.326900,5.326900,0
2020-07-14,5.401400,5.449600,5.346400,5.401500,5.401500,0
2020-07-15,5.367000,5.369100,5.290160,5.366800,5.366800,0
2020-07-16,5.366600,5.384000,5.330770,5.366950,5.366950,0
2020-07-17,5.329900,5.357200,5.314330,5.330700,5.330700,0
2020-07-20,5.382600,5.386800,5.334400,5.385300,5.385300,0
2020-07-21,5.327700,5.329000,5.180400,5.327700,5.327700,0
2020-07-22,5.169000,5.195900,5.092900,5.169800,5.169800,0
2020-07-23,5.118400,5.194900,5.115870,5.118100,5.118100,0
2020-07-24,5.210400,5.249700,5.182800,5.210600,5.210600,0
2020-07-27,5.229800,5.232500,5.153000,5.229100,5.229100,0
2020-07-28,5.143100,5.197740,5.122960,5.141420,5.141420,0
2020-07-29,5.151400,5.159300,5.111320,5.152300,5.152300,0
2020-07-30,5.168600,5.211800,5.148350,5.168800,5.168800,0
2020-07-31,5.153300,5.219300,5.151210,5.153900,5.153900,0
2020-08-03,5.221700,5.333200,5.196740,5.221200,5.221200,0
2020-08-04,5.318700,5.373900,5.304330,5.318700,5.318700,0
2020-08-05,5.290200,5.294300,5.232500,5.290200,5.290200,0
2020-08-06,5.290800,5.366080,5.250090,5.290900,5.290900,0
2020-08-07,5.330400,5.435300,5.329170,5.331300,5.331300,0
2020-08-10,5.437100,5.438200,5.347400,5.437200,5.437200,0
2020-08-11,5.480000,5.483700,5.399080,5.480500,5.480500,0
2020-08-12,5.380300,5.483300,5.377400,5.380400,5.380400,0
